ORDEM;SEXO;ESTADO CIVIL;DATA DE NASCIMENTO;VÁLIDO / INVÁLIDO ( V / I );REGRA DE CONCESSÃO DE APS.;BENEFÍCIO DE APOSENTADORIA;IDADE NA DATA DA AVALIAÇÃO
1;M;2;04/09/1946;V;INT;7120,61;72
2;M;2;24/03/1952;V;INT;10830,39;66
3;M;2;07/09/1950;V;INT;23595,39;68
4;M;2;13/06/1960;V;INT;10082,36;58
5;M;3;21/01/1955;V;INT;9726,38;63
6;M;2;27/08/1959;V;INT;10175,14;59
7;M;2;29/05/1944;V;INT;7766,1;74
8;F;3;16/08/1946;V;INT;6896,51;72
9;M;2;15/08/1952;V;INT;23595,39;66
10;M;2;24/01/1946;V;INT;10135,47;72
11;F;5;05/02/1951;V;INT;14484,67;67
12;M;2;11/09/1952;V;INT;23595,39;66
13;M;2;20/01/1957;V;INT;9805,27;61
14;M;2;01/08/1950;V;INT;23595,39;68
15;M;2;04/02/1935;V;INT;5239,87;83
16;M;2;09/02/1958;V;INT;6972,06;60
17;M;2;08/05/1948;V;INT;10265,66;70
18;M;2;29/01/1953;V;INT;10830,39;65
19;M;3;04/09/1954;V;INT;10830,39;64
20;M;2;22/12/1955;V;INT;10830,39;63
21;M;2;15/02/1951;V;INT;7210,06;67
22;F;5;22/11/1961;V;INT;23595,39;57
23;M;6;14/03/1935;I;INT;7160,38;83
24;M;2;19/01/1940;I;INT;5609,5;78
25;M;2;13/06/1954;V;INT;23595,39;64
26;M;2;10/05/1956;V;INT;10830,39;62
27;M;2;27/07/1953;V;INT;7427,28;65
28;M;2;13/04/1954;V;INT;10830,39;64
29;M;2;11/02/1957;V;INT;23595,39;61
30;M;2;20/02/1956;V;INT;9548,45;62
31;F;5;04/06/1957;V;INT;16445,49;61
32;M;2;20/06/1957;V;INT;10582,37;61
33;M;4;02/08/1947;V;INT;6702,15;71
34;M;2;12/02/1952;V;INT;23595,39;66
35;M;2;16/07/1955;V;INT;9841,96;63
36;M;2;06/12/1949;V;INT;21965,73;69
37;M;2;23/01/1958;V;INT;10830,39;60
38;M;5;22/07/1951;V;INT;16248,79;67
39;M;6;09/11/1953;V;INT;10830,39;65
40;M;1;27/08/1957;V;INT;10830,39;61
41;M;2;22/12/1959;V;INT;7017,17;59
42;M;2;29/06/1936;V;INT;5787,71;82
43;F;1;27/12/1949;V;INT;9621,83;69
44;M;2;18/10/1961;V;INT;9789,41;57
45;M;6;26/04/1960;V;INT;7017,17;58
46;M;6;28/01/1950;V;INT;6328,28;68
47;F;2;25/04/1951;V;INT;10830,39;67
48;F;5;25/05/1961;V;INT;9695,21;57
49;M;2;26/11/1955;V;INT;10155,74;63
50;M;2;13/12/1953;V;INT;9878,65;65
51;M;6;23/09/1956;V;INT;6940,01;62
52;M;2;06/10/1953;V;INT;21924,73;65
53;F;1;19/01/1961;V;INT;9475,08;57
54;M;2;14/05/1949;V;INT;7155,11;69
55;M;2;30/03/1936;I;INT;15832,61;82
56;M;2;24/09/1952;I;INT;22134,93;66
57;F;1;07/04/1958;V;INT;23595,39;60
58;F;4;12/07/1958;I;INT;10830,39;60
59;F;2;17/06/1959;V;INT;10830,39;59
60;F;2;17/03/1958;V;INT;21446,23;60
61;F;1;01/04/1954;I;INT;23595,39;64
62;F;2;07/12/1961;V;INT;9774,31;57
63;F;2;09/02/1963;V;INT;9621,83;55
64;M;2;24/08/1959;V;INT;7017,17;59
65;F;2;13/12/1964;V;INT;9753,19;54
